index,lat,lon,avg_pm25,risk
296,29.98,78.135,25.075744234800844,LOW
297,29.965,78.12,25.248872117400417,LOW
298,29.946,78.162,22.17938155136268,LOW
299,29.93,78.15,17.09061215932914,LOW
300,29.91,78.125,35.5919748427673,LOW
301,30.127,78.324,21.078775681341718,LOW
302,30.1058,78.2983,21.358999999999998,LOW
303,30.095,78.28,28.776658280922433,LOW
304,30.118,78.305,14.674285115303983,LOW
305,30.102,78.3,21.358999999999998,LOW
306,30.08,78.275,29.060725366876312,LOW
307,30.072,78.29,31.020146750524106,LOW
308,30.3398,78.0644,25.332410901467508,LOW
309,30.3165,78.0322,25.635656184486372,LOW
310,30.3245,78.0425,26.871486373165617,LOW
311,30.275,78.02,30.354331236897277,LOW
312,30.3058,77.9958,18.319446540880502,LOW
313,30.36,77.98,28.735274633123687,LOW
314,30.35,78.055,24.164364779874212,LOW
315,30.3121,78.0432,34.383677148846964,LOW
316,30.3272,78.0612,18.839366876310272,LOW
317,30.3348,77.9962,33.29519077568134,LOW
318,30.3215,78.041,26.871486373165617,LOW
319,30.362,78.048,23.10503983228512,LOW
320,30.385,78.065,25.9197106918239,LOW
321,29.9582,78.1642,23.310075471698113,LOW
322,29.92,78.14,34.75327463312369,LOW
323,29.945,78.155,22.17938155136268,LOW
324,29.98,78.135,25.075744234800844,LOW
325,29.965,78.12,25.248872117400417,LOW
326,29.946,78.162,22.17938155136268,LOW
327,29.93,78.15,17.09061215932914,LOW
328,29.91,78.125,35.5919748427673,LOW
329,30.127,78.324,21.078775681341718,LOW
330,30.1058,78.2983,21.358999999999998,LOW
331,30.095,78.28,28.776658280922433,LOW
332,30.118,78.305,14.674285115303983,LOW
333,30.102,78.3,21.358999999999998,LOW
334,30.08,78.275,29.060725366876312,LOW
335,30.072,78.29,31.020146750524106,LOW
336,30.3398,78.0644,25.332410901467508,LOW
337,30.3165,78.0322,25.635656184486372,LOW
338,30.3245,78.0425,26.871486373165617,LOW
339,30.275,78.02,30.354331236897277,LOW
340,30.3058,77.9958,18.319446540880502,LOW
341,30.36,77.98,28.735274633123687,LOW
342,30.35,78.055,24.164364779874212,LOW
343,30.3121,78.0432,34.383677148846964,LOW
344,30.3272,78.0612,18.839366876310272,LOW
345,30.3348,77.9962,33.29519077568134,LOW
346,30.3215,78.041,26.871486373165617,LOW
347,30.362,78.048,23.10503983228512,LOW
348,30.385,78.065,25.9197106918239,LOW
349,29.9582,78.1642,23.310075471698113,LOW
350,29.92,78.14,34.75327463312369,LOW
351,29.945,78.155,22.17938155136268,LOW
352,29.98,78.135,25.075744234800844,LOW
353,29.965,78.12,25.248872117400417,LOW
354,29.946,78.162,22.17938155136268,LOW
355,29.93,78.15,17.09061215932914,LOW
356,29.91,78.125,35.5919748427673,LOW
357,30.127,78.324,21.078775681341718,LOW
358,30.1058,78.2983,21.358999999999998,LOW
359,30.095,78.28,28.776658280922433,LOW
360,30.118,78.305,14.674285115303983,LOW
361,30.102,78.3,21.358999999999998,LOW
362,30.08,78.275,29.060725366876312,LOW
363,30.072,78.29,31.020146750524106,LOW
364,30.3398,78.0644,25.332410901467508,LOW
365,30.3165,78.0322,25.635656184486372,LOW
366,30.3245,78.0425,26.871486373165617,LOW
367,30.275,78.02,30.354331236897277,LOW
368,30.3058,77.9958,18.319446540880502,LOW
369,30.36,77.98,28.735274633123687,LOW
370,30.35,78.055,24.164364779874212,LOW
371,30.3121,78.0432,34.383677148846964,LOW
372,30.3272,78.0612,18.839366876310272,LOW
373,30.3348,77.9962,33.29519077568134,LOW
374,30.3215,78.041,26.871486373165617,LOW
375,30.362,78.048,23.10503983228512,LOW
376,30.385,78.065,25.9197106918239,LOW
377,29.9582,78.1642,23.310075471698113,LOW
378,29.92,78.14,34.75327463312369,LOW
379,29.945,78.155,22.17938155136268,LOW
380,29.98,78.135,25.075744234800844,LOW
381,29.965,78.12,25.248872117400417,LOW
382,29.946,78.162,22.17938155136268,LOW
383,29.93,78.15,17.09061215932914,LOW
384,29.91,78.125,35.5919748427673,LOW
385,30.127,78.324,21.078775681341718,LOW
386,30.1058,78.2983,21.358999999999998,LOW
387,30.095,78.28,28.776658280922433,LOW
388,30.118,78.305,14.674285115303983,LOW
389,30.102,78.3,21.358999999999998,LOW
390,30.08,78.275,29.060725366876312,LOW
391,30.072,78.29,31.020146750524106,LOW
392,30.3398,78.0644,25.332410901467508,LOW
393,30.3165,78.0322,25.635656184486372,LOW
394,30.3245,78.0425,26.871486373165617,LOW
395,30.275,78.02,30.354331236897277,LOW
396,30.3058,77.9958,18.319446540880502,LOW
397,30.36,77.98,28.735274633123687,LOW
398,30.35,78.055,24.164364779874212,LOW
399,30.3121,78.0432,34.383677148846964,LOW
400,30.3272,78.0612,18.839366876310272,LOW
401,30.3348,77.9962,33.29519077568134,LOW
402,30.3215,78.041,26.871486373165617,LOW
403,30.362,78.048,23.10503983228512,LOW
404,30.385,78.065,25.9197106918239,LOW
405,29.9582,78.1642,23.310075471698113,LOW
406,29.92,78.14,34.75327463312369,LOW
407,29.945,78.155,22.17938155136268,LOW
408,29.98,78.135,25.075744234800844,LOW
409,29.965,78.12,25.248872117400417,LOW
410,29.946,78.162,22.17938155136268,LOW
411,29.93,78.15,17.09061215932914,LOW
412,29.91,78.125,35.5919748427673,LOW
413,30.127,78.324,21.078775681341718,LOW
414,30.1058,78.2983,21.358999999999998,LOW
415,30.095,78.28,28.776658280922433,LOW
416,30.118,78.305,14.674285115303983,LOW
417,30.102,78.3,21.358999999999998,LOW
418,30.08,78.275,29.060725366876312,LOW
419,30.072,78.29,31.020146750524106,LOW
420,30.3398,78.0644,25.332410901467508,LOW
421,30.3165,78.0322,25.635656184486372,LOW
